,team_name,final_score
0,team1,94.24772441016454
1,modelbehavior_team2,78.06993624453013
2,team6,77.05776946749249
6,team7,75.61515588277305
9,team9,60.88387674808149
3,team4,58.656330749354005
4,SchrodingersDingo,57.10594315245479
5,team11,57.10594315245479
7,abracaData,55.55555555555555
8,Team 15,48.06201550387596
10,Team_5,18.50921273031826
11,Team11,18.34170854271357
