,team_name,final_score
0,team1,81.18239777699868
1,modelbehavior_team2,78.06993624453013
2,team6,77.05776946749249
7,team7,75.61515588277305
6,Team11,75.44765169516836
10,team9,60.88387674808149
3,team4,58.656330749354005
4,notabug_itsafeature,58.2687338501292
5,SchrodingersDingo,57.10594315245479
8,abracaData,55.55555555555555
9,Team 15,48.06201550387596
11,Team_5,18.50921273031826
